Date : 2021-07-25 13:40:42
Directory : /home/mahdi/Desktop/finwise/finwise
Total : 2851 files,  214348 codes, 15214 comments, 14006 blanks, all 243568 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/plugins/keenthemes-icons/svg/061-wrench.svg                                                          | XML          |         53 |          1 |          1 |         55 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/plugins/keenthemes-icons/svg/062-gear.svg                                                            | XML          |         55 |          1 |          1 |         57 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/plugins/keenthemes-icons/svg/063-info.svg                                                            | XML          |         41 |          1 |          1 |         43 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/plugins/keenthemes-icons/svg/064-calendar-2.svg                                                      | XML          |         72 |          1 |          1 |         74 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/plugins/keenthemes-icons/svg/065-calendar.svg                                                        | XML          |        106 |          1 |          1 |        108 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/plugins/keenthemes-icons/svg/066-calendar-today.svg                                                  | XML          |         59 |          1 |          1 |         61 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/plugins/keenthemes-icons/svg/067-clock.svg                                                           | XML          |         46 |          1 |          1 |         48 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/plugins/keenthemes-icons/svg/068-dots.svg                                                            | XML          |          5 |          0 |          1 |          6 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/_init.scss                                                                                      | SCSS         |         10 |          9 |          8 |         27 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/base/_functions.scss                                                                            | SCSS         |          5 |          3 |          2 |         10 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/base/_mixins.scss                                                                               | SCSS         |          6 |          3 |          2 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/base/functions/_get.scss                                                                        | SCSS         |         64 |          5 |         14 |         83 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/base/functions/_math.scss                                                                       | SCSS         |          9 |          3 |          4 |         16 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/base/functions/_theme-colors.scss                                                               | SCSS         |         15 |          3 |          6 |         24 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/base/functions/_valueif.scss                                                                    | SCSS         |          9 |          3 |          2 |         14 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/base/mixins/_attr.scss                                                                          | SCSS         |          5 |          3 |          2 |         10 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/base/mixins/_browsers.scss                                                                      | SCSS         |         10 |          5 |          3 |         18 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/base/mixins/_fixes.scss                                                                         | SCSS         |          8 |          4 |          4 |         16 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/base/mixins/_placeholder.scss                                                                   | SCSS         |         12 |          6 |          2 |         20 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/base/mixins/_reset.scss                                                                         | SCSS         |         17 |          3 |          3 |         23 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_accordion.scss                                                                      | SCSS         |        213 |         17 |         44 |        274 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_alert.scss                                                                          | SCSS         |        171 |         16 |         37 |        224 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_breadcrumb.scss                                                                     | SCSS         |         44 |          3 |         10 |         57 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_bullet.scss                                                                         | SCSS         |         20 |          8 |          5 |         33 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_burger-icon.scss                                                                    | SCSS         |          4 |          3 |          2 |          9 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_buttons.scss                                                                        | SCSS         |        650 |         50 |        129 |        829 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_card.scss                                                                           | SCSS         |        236 |         27 |         53 |        316 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_checkbox.scss                                                                       | SCSS         |        145 |         27 |         34 |        206 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_code.scss                                                                           | SCSS         |          6 |          3 |          2 |         11 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_datatable.scss                                                                      | SCSS         |        609 |         23 |        128 |        760 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_dialog.scss                                                                         | SCSS         |         31 |          5 |          5 |         41 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_dropdown.scss                                                                       | SCSS         |         57 |         17 |         15 |         89 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_forms.scss                                                                          | SCSS         |          1 |          4 |          3 |          8 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_grid.scss                                                                           | SCSS         |         45 |          9 |         12 |         66 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_image-input.scss                                                                    | SCSS         |         70 |         14 |         16 |        100 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_label.scss                                                                          | SCSS         |         83 |         14 |         22 |        119 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_list.scss                                                                           | SCSS         |         53 |          7 |         12 |         72 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_loader.scss                                                                         | SCSS         |         37 |          6 |          7 |         50 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_mixins.scss                                                                         | SCSS         |         16 |          4 |          2 |         22 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_modal.scss                                                                          | SCSS         |         91 |          9 |         20 |        120 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_nav.scss                                                                            | SCSS         |        459 |         42 |        107 |        608 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_navi.scss                                                                           | SCSS         |        318 |         22 |         58 |        398 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_option.scss                                                                         | SCSS         |         59 |          4 |         17 |         80 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_overlay.scss                                                                        | SCSS         |         28 |          3 |          8 |         39 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_page-loader.scss                                                                    | SCSS         |         47 |          5 |         10 |         62 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_pagination.scss                                                                     | SCSS         |         18 |          3 |          4 |         25 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_popover.scss                                                                        | SCSS         |         47 |          8 |         12 |         67 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_progress.scss                                                                       | SCSS         |         39 |          4 |         11 |         54 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_pulse.scss                                                                          | SCSS         |         33 |          5 |          8 |         46 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_quick-search.scss                                                                   | SCSS         |        113 |         17 |         25 |        155 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_radio.scss                                                                          | SCSS         |        153 |         29 |         37 |        219 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_ribbon.scss                                                                         | SCSS         |        104 |          5 |         18 |        127 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_scrolltop.scss                                                                      | SCSS         |         52 |          5 |         10 |         67 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_separator.scss                                                                      | SCSS         |         23 |          5 |          8 |         36 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_spinner.scss                                                                        | SCSS         |         97 |         11 |         23 |        131 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_sticky-toolbar.scss                                                                 | SCSS         |         17 |          3 |          3 |         23 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_strikethrough.scss                                                                  | SCSS         |         29 |          3 |          6 |         38 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_svg-icon.scss                                                                       | SCSS         |         27 |          6 |          6 |         39 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_svg.scss                                                                            | SCSS         |         10 |          4 |          4 |         18 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_switch.scss                                                                         | SCSS         |        118 |         16 |         20 |        154 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_symbol.scss                                                                         | SCSS         |        100 |         14 |         21 |        135 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_table.scss                                                                          | SCSS         |        136 |          3 |         21 |        160 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_timeline-2.scss                                                                     | SCSS         |         41 |          3 |          7 |         51 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_timeline-3.scss                                                                     | SCSS         |         59 |          3 |         10 |         72 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_timeline-4.scss                                                                     | SCSS         |        190 |          5 |         38 |        233 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_timeline-5.scss                                                                     | SCSS         |         46 |          3 |          9 |         58 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_timeline-6.scss                                                                     | SCSS         |         55 |          3 |          9 |         67 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_timeline.scss                                                                       | SCSS         |         51 |          3 |         13 |         67 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_toggle.scss                                                                         | SCSS         |         10 |          3 |          3 |         16 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_tooltip.scss                                                                        | SCSS         |         24 |         21 |          9 |         54 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_type.scss                                                                           | SCSS         |         25 |          7 |          6 |         38 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_utilities.scss                                                                      | SCSS         |          9 |          4 |          2 |         15 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_variables.bootstrap.scss                                                            | SCSS         |        576 |        101 |        118 |        795 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_variables.custom.scss                                                               | SCSS         |        405 |         33 |         52 |        490 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_variables.demo.scss                                                                 | SCSS         |          4 |          7 |          2 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_wave.scss                                                                           | SCSS         |         77 |          3 |         16 |         96 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/_wizard.scss                                                                         | SCSS         |         63 |          7 |         18 |         88 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/forms/_base.scss                                                                     | SCSS         |        212 |         17 |         48 |        277 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_burger-icon.scss                                                             | SCSS         |        140 |          9 |         22 |        171 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_buttons.scss                                                                 | SCSS         |        151 |         14 |         41 |        206 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_checkbox.scss                                                                | SCSS         |         42 |          9 |         12 |         63 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_ki.scss                                                                      | SCSS         |         14 |          3 |          2 |         19 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_label.scss                                                                   | SCSS         |         15 |          3 |          4 |         22 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_menu-horizontal.scss                                                         | SCSS         |        736 |        107 |        156 |        999 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_menu-vertical.scss                                                           | SCSS         |        960 |        114 |        209 |      1,283 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_navi.scss                                                                    | SCSS         |         72 |          6 |         22 |        100 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_offcanvas.scss                                                               | SCSS         |        173 |         19 |         34 |        226 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_radio.scss                                                                   | SCSS         |         63 |         12 |         17 |         92 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_spinner.scss                                                                 | SCSS         |         29 |          3 |          7 |         39 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_svg-icon.scss                                                                | SCSS         |         39 |          3 |          6 |         48 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_switch.scss                                                                  | SCSS         |         64 |         13 |         14 |         91 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_symbol.scss                                                                  | SCSS         |         55 |          4 |         14 |         73 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_tooltip.scss                                                                 | SCSS         |         26 |          3 |          6 |         35 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/mixins/_wave.scss                                                                    | SCSS         |          0 |          3 |          1 |          4 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/utilities/_background.scss                                                           | SCSS         |        161 |         21 |         39 |        221 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/utilities/_borders.scss                                                              | SCSS         |        125 |         13 |         34 |        172 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/utilities/_flex.scss                                                                 | SCSS         |         30 |          4 |         10 |         44 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/utilities/_icon.scss                                                                 | SCSS         |         14 |          5 |          4 |         23 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/utilities/_opacity.scss                                                              | SCSS         |         18 |          4 |          5 |         27 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/utilities/_position.scss                                                             | SCSS         |         33 |          3 |         12 |         48 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/utilities/_sizing.scss                                                               | SCSS         |         31 |          9 |         10 |         50 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/components/utilities/_text.scss                                                                 | SCSS         |        106 |         18 |         31 |        155 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/custom.scss                                                                                     | SCSS         |          3 |          2 |          2 |          7 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_aside.scss                                                                              | SCSS         |         43 |         14 |         13 |         70 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_base.scss                                                                               | SCSS         |         43 |         14 |         11 |         68 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_brand.scss                                                                              | SCSS         |         54 |         15 |         10 |         79 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_content.scss                                                                            | SCSS         |         16 |          7 |          5 |         28 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_footer.scss                                                                             | SCSS         |         17 |          6 |          3 |         26 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_header-menu.scss                                                                        | SCSS         |         75 |         15 |         17 |        107 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_header-mobile.scss                                                                      | SCSS         |         29 |          7 |          5 |         41 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_header-topbar.scss                                                                      | SCSS         |         52 |         10 |          9 |         71 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_header.scss                                                                             | SCSS         |         29 |          8 |          6 |         43 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_init.scss                                                                               | SCSS         |         14 |          3 |          2 |         19 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_main.scss                                                                               | SCSS         |         38 |         16 |         10 |         64 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_offcanvas.scss                                                                          | SCSS         |         34 |          8 |         10 |         52 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_print.scss                                                                              | SCSS         |         26 |          3 |          4 |         33 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_subheader.scss                                                                          | SCSS         |         79 |         16 |         14 |        109 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/layout/_variables.scss                                                                          | SCSS         |      1,826 |        335 |        223 |      2,384 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/error/error-3.scss                                                                        | SCSS         |         13 |          4 |          4 |         21 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/error/error-4.scss                                                                        | SCSS         |         19 |          4 |          4 |         27 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/error/error-5.scss                                                                        | SCSS         |         13 |          4 |          4 |         21 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/error/error-6.scss                                                                        | SCSS         |         13 |          4 |          4 |         21 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/invoice/invoice-6.scss                                                                    | SCSS         |         12 |          4 |          4 |         20 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/login/classic/login-1.scss                                                                | SCSS         |         77 |         10 |         18 |        105 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/login/classic/login-2.scss                                                                | SCSS         |         77 |         10 |         19 |        106 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/login/classic/login-3.scss                                                                | SCSS         |         61 |          9 |         17 |         87 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/login/classic/login-4.scss                                                                | SCSS         |         59 |          9 |         17 |         85 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/login/classic/login-5.scss                                                                | SCSS         |         59 |          9 |         17 |         85 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/login/classic/login-6.scss                                                                | SCSS         |         90 |          9 |         20 |        119 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/login/login-1.scss                                                                        | SCSS         |         94 |         10 |         21 |        125 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/login/login-2.scss                                                                        | SCSS         |         99 |         10 |         22 |        131 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/login/login-3.scss                                                                        | SCSS         |        211 |         20 |         46 |        277 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/login/login-4.scss                                                                        | SCSS         |        190 |         28 |         40 |        258 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/wizard/wizard-1.scss                                                                      | SCSS         |        113 |         18 |         25 |        156 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/wizard/wizard-2.scss                                                                      | SCSS         |        114 |         17 |         28 |        159 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/wizard/wizard-3.scss                                                                      | SCSS         |         85 |         11 |         16 |        112 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/wizard/wizard-4.scss                                                                      | SCSS         |        124 |         13 |         19 |        156 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/wizard/wizard-5.scss                                                                      | SCSS         |        144 |         18 |         32 |        194 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/pages/wizard/wizard-6.scss                                                                      | SCSS         |        117 |         15 |         26 |        158 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/style.vue.scss                                                                                  | SCSS         |         99 |         14 |          9 |        122 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/themes/layout/aside/dark.scss                                                                   | SCSS         |          8 |          7 |          6 |         21 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/themes/layout/aside/light.scss                                                                  | SCSS         |          9 |          8 |          6 |         23 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/themes/layout/brand/dark.scss                                                                   | SCSS         |         56 |         11 |         15 |         82 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/themes/layout/brand/light.scss                                                                  | SCSS         |         55 |         10 |         16 |         81 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/themes/layout/header/base/dark.scss                                                             | SCSS         |        168 |         15 |         46 |        229 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/themes/layout/header/base/light.scss                                                            | SCSS         |         80 |         10 |         24 |        114 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/themes/layout/header/menu/dark.scss                                                             | SCSS         |         10 |          9 |          7 |         26 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/themes/layout/header/menu/light.scss                                                            | SCSS         |          3 |          6 |          4 |         13 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_apexcharts.scss                                                                | SCSS         |         98 |          8 |         20 |        126 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_blockui.scss                                                                   | SCSS         |         22 |          4 |          9 |         35 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_bootstrap-datepicker.scss                                                      | SCSS         |        138 |          4 |         30 |        172 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_bootstrap-daterangepicker.scss                                                 | SCSS         |        161 |          5 |         34 |        200 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_bootstrap-markdown.scss                                                        | SCSS         |         61 |          5 |         16 |         82 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_bootstrap-maxlength.scss                                                       | SCSS         |          9 |          3 |          5 |         17 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_bootstrap-notify.scss                                                          | SCSS         |         60 |          7 |         17 |         84 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_bootstrap-select.scss                                                          | SCSS         |        198 |          9 |         48 |        255 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_bootstrap-session-timeout.scss                                                 | SCSS         |         13 |          3 |          3 |         19 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_bootstrap-switch.scss                                                          | SCSS         |         92 |          7 |         18 |        117 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_bootstrap-timepicker.scss                                                      | SCSS         |         34 |          4 |          8 |         46 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_bootstrap-touchspin.scss                                                       | SCSS         |         27 |          4 |          9 |         40 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_ckeditor.scss                                                                  | SCSS         |         39 |          6 |         10 |         55 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_datatables.scss                                                                | SCSS         |        328 |         29 |         65 |        422 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_draggable.scss                                                                 | SCSS         |         18 |          4 |          6 |         28 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_dropzone.scss                                                                  | SCSS         |        122 |          6 |         25 |        153 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_duallistbox.scss                                                               | SCSS         |         73 |          6 |         17 |         96 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_fontawesome5.scss                                                              | SCSS         |         39 |          3 |         15 |         57 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_formvalidation.scss                                                            | SCSS         |          8 |          3 |          3 |         14 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_fullcalendar.scss                                                              | SCSS         |        421 |         29 |        104 |        554 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_gmaps.scss                                                                     | SCSS         |         12 |          4 |          4 |         20 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_ion-range-slider.scss                                                          | SCSS         |         11 |          3 |          4 |         18 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_jquery-repeater.scss                                                           | SCSS         |         38 |          3 |         11 |         52 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_jqvmap.scss                                                                    | SCSS         |         18 |          3 |          7 |         28 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_jstree.scss                                                                    | SCSS         |        120 |          5 |         26 |        151 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_kanban.scss                                                                    | SCSS         |         63 |          4 |         16 |         83 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_leaflet.scss                                                                   | SCSS         |         17 |          3 |          4 |         24 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_mixins.scss                                                                    | SCSS         |          1 |          3 |          2 |          6 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_nouislider.scss                                                                | SCSS         |         83 |          9 |         21 |        113 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_perfect-scrollbar.scss                                                         | SCSS         |         19 |          5 |          6 |         30 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_prismjs.scss                                                                   | SCSS         |        154 |          7 |         38 |        199 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_quill.scss                                                                     | SCSS         |        147 |          6 |         31 |        184 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_react-bootstrap-table2.scss                                                    | SCSS         |          0 |          3 |          1 |          4 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_recaptcha.scss                                                                 | SCSS         |         22 |          4 |          7 |         33 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_select2.scss                                                                   | SCSS         |        203 |         10 |         38 |        251 |
| /home/mahdi/Desktop/finwise/finwise/frontend/src/assets/sass/vendors/plugins/_summernote.scss                                                                | SCSS         |        120 |          4 |         30 |        154 |
